Stage;Segment;Experience Level;Product Tier;CampaignType;Industry;Market Maturity;Territory;Country;State Province;Created Date;CloseDate;Status;Units;Revenue;ClosePct;Product Name;Product Category;List Price
Proposal;Mid-Market;Senior;Premium;Webinar;Manufacturing;Mature;EMEA;Spain;Catalonia;2023-10-08;2023-10-25;Lost;67;52805,69;0,4;"E-reader Platinum 8"" 32 GB";Devices;780
Proposal;Enterprise;Mid-Level;Premium;Partner Program;Finance;Growth;APAC;India;Karnataka;2023-09-03;2023-10-26;Won;113;156451,76;0,5;Onsite Training;Services;1382
Qualification;Mid-Market;Junior;Basic;Conference;Healthcare;Emerging;LATAM;Brazil;Rio de Janeiro;2023-10-02;2023-10-27;Lost;340;29320,99;0,3;Travel Adapter Kit;Accessories;86
Negotiation;Mid-Market;Principal;Premium;Digital Ads;Government;Mature;North America;Canada;Quebec;2023-09-09;2023-10-28;Won;63;54030,7;0,7;Extended Warranty;Services;855
Final Review;Mid-Market;Mid-Level;Basic;Digital Ads;Finance;Mature;North America;Canada;British Columbia;2023-10-13;2023-10-29;Won;364;42692,17;0,9;"Protective Case 6""";Accessories;117
Negotiation;Mid-Market;Senior;Basic;Digital Ads;Retail;Mature;North America;Canada;Ontario;2023-10-14;2023-10-29;Won;719;71932,9;0,7;"E-reader Lite 6"" 8 GB";Devices;100
Negotiation;Enterprise;Junior;Standard;Conference;Education;Mature;North America;United States;Washington;2023-10-02;2023-10-29;Won;530;106700,81;0,7;Smart Speaker Mini;Devices;201
Final Review;Mid-Market;Junior;Standard;Webinar;Finance;Mature;North America;Canada;Ontario;2023-09-23;2023-10-30;Lost;271;49094,75;0,8;Office Suite Basic;Software;181
Negotiation;Mid-Market;Principal;Basic;Conference;Manufacturing;Mature;EMEA;Germany;Hesse;2023-09-24;2023-10-30;Lost;480;61932,09;0,7;Parental Control Suite;Software;129
Proposal;Mid-Market;Mid-Level;Standard;Digital Ads;Technology;Mature;EMEA;Germany;Bavaria;2023-08-11;2023-10-31;Lost;127;23032,84;0,5;Office Suite Basic;Software;181
Prospecting;Mid-Market;Junior;Premium;Digital Ads;Education;Growth;APAC;India;Maharashtra;2023-10-06;2023-10-31;Lost;51;77219,75;0,1;Data Migration;Services;1487
Negotiation;Enterprise;Mid-Level;Standard;Conference;Manufacturing;Emerging;LATAM;Mexico;Mexico City;2023-08-20;2023-11-01;Won;504;101441,33;0,6;Smart Speaker Mini;Devices;201
Prospecting;Enterprise;Junior;Standard;Email Campaign;Healthcare;Mature;EMEA;Germany;Bavaria;2023-07-27;2023-11-01;Lost;504;91279,87;0,1;Office Suite Basic;Software;181
Prospecting;Enterprise;Mid-Level;Standard;Partner Program;Healthcare;Mature;North America;Canada;British Columbia;2023-09-18;2023-11-01;Won;745;119333,68;0,0;Office Suite Enterprise;Software;160
Negotiation;Enterprise;Principal;Basic;Webinar;Healthcare;Mature;EMEA;Spain;Madrid;2023-10-04;2023-11-02;Lost;761;98191,15;0,6;Parental Control Suite;Software;129
Proposal;Enterprise;Principal;Premium;Digital Ads;Healthcare;Mature;North America;United States;New York;2023-09-11;2023-11-02;Lost;226;123566,87;0,5;Smart Speaker Max;Devices;546
Qualification;Mid-Market;Junior;Premium;Conference;Healthcare;Mature;EMEA;Spain;Madrid;2023-10-10;2023-11-03;Lost;74;60878,98;0,4;Premium Support;Services;819
Negotiation;Enterprise;Junior;Premium;Conference;Finance;Mature;North America;United States;Washington;2023-07-27;2023-11-03;Won;60;90055,8;0,6;Data Migration;Services;1487
Proposal;Mid-Market;Mid-Level;Premium;Webinar;Government;Growth;APAC;India;Maharashtra;2023-10-23;2023-11-06;Won;49;38788,57;0,4;"E-reader Platinum 8"" 32 GB";Devices;780
Qualification;Enterprise;Junior;Basic;Digital Ads;Healthcare;Growth;APAC;India;Delhi;2023-09-16;2023-11-06;Lost;1292;129279,38;0,3;"E-reader Lite 6"" 8 GB";Devices;100
Negotiation;Mid-Market;Mid-Level;Premium;Email Campaign;Finance;Mature;EMEA;Germany;Berlin;2023-10-16;2023-11-06;Lost;45;62577,89;0,7;Onsite Training;Services;1382
Final Review;Mid-Market;Mid-Level;Basic;Digital Ads;Education;Mature;North America;United States;Texas;2023-10-26;2023-11-06;Lost;590;38985,64;1,0;Wireless Charger Pad;Accessories;66
Proposal;Mid-Market;Principal;Basic;Digital Ads;Technology;Mature;North America;Canada;British Columbia;2023-10-05;2023-11-09;Lost;425;36593,11;0,5;Travel Adapter Kit;Accessories;86
Qualification;Mid-Market;Junior;Standard;Webinar;Government;Growth;APAC;India;Delhi;2023-10-06;2023-11-10;Lost;251;50646,45;0,2;Smart Speaker Mini;Devices;201
Negotiation;Mid-Market;Senior;Premium;Webinar;Government;Mature;EMEA;United Kingdom;Scotland;2023-10-01;2023-11-10;Won;37;51357,25;0,8;Onsite Training;Services;1382
Final Review;Mid-Market;Senior;Standard;Digital Ads;Finance;Growth;APAC;Japan;Osaka;2023-09-11;2023-11-11;Won;362;57951,18;0,8;Office Suite Enterprise;Software;160
Prospecting;Mid-Market;Mid-Level;Premium;Partner Program;Technology;Emerging;LATAM;Mexico;Mexico City;2023-10-21;2023-11-11;Lost;63;49318,32;0,1;"E-reader Platinum 8"" 32 GB";Devices;780
Qualification;Enterprise;Junior;Premium;Conference;Manufacturing;Mature;EMEA;United Kingdom;Scotland;2023-10-10;2023-11-11;Lost;120;83486,44;0,4;"Tablet Pro 11"" 128 GB";Devices;694
Proposal;Mid-Market;Junior;Premium;Conference;Manufacturing;Mature;North America;United States;Texas;2023-10-22;2023-11-11;Lost;67;57496,62;0,6;Extended Warranty;Services;855
Qualification;Mid-Market;Junior;Premium;Conference;Finance;Mature;EMEA;France;Auvergne-Rhône-Alpes;2023-10-01;2023-11-12;Lost;84;69255;0,3;Premium Support;Services;819
Prospecting;Mid-Market;Mid-Level;Standard;Partner Program;Retail;Mature;North America;Canada;British Columbia;2023-09-14;2023-11-12;Lost;357;71881,44;0,2;Smart Speaker Mini;Devices;201
Negotiation;Mid-Market;Senior;Standard;Webinar;Manufacturing;Mature;EMEA;France;Auvergne-Rhône-Alpes;2023-07-31;2023-11-15;Won;383;69341,83;0,6;Office Suite Basic;Software;181
Negotiation;Enterprise;Senior;Basic;Digital Ads;Finance;Mature;North America;Canada;British Columbia;2023-10-18;2023-11-15;Lost;1392;139220,82;0,6;"E-reader Lite 6"" 8 GB";Devices;100
Proposal;Mid-Market;Principal;Basic;Digital Ads;Retail;Mature;EMEA;France;Auvergne-Rhône-Alpes;2023-10-21;2023-11-15;Won;860;56789,76;0,4;Wireless Charger Pad;Accessories;66
Qualification;Enterprise;Principal;Standard;Digital Ads;Finance;Mature;North America;United States;California;2023-11-07;2023-11-16;Lost;1056;212288,98;0,2;Smart Speaker Mini;Devices;201
Negotiation;Mid-Market;Senior;Basic;Digital Ads;Government;Mature;North America;United States;Texas;2023-10-30;2023-11-16;Lost;347;37150,07;0,8;Premium Headphones;Accessories;107
Negotiation;Mid-Market;Junior;Standard;Email Campaign;Government;Mature;EMEA;United Kingdom;England;2023-10-15;2023-11-17;Won;169;27061,55;0,6;Office Suite Enterprise;Software;160
Qualification;Enterprise;Senior;Premium;Email Campaign;Healthcare;Mature;EMEA;Germany;Berlin;2023-09-02;2023-11-17;Lost;131;112158,68;0,3;Extended Warranty;Services;855
Proposal;Enterprise;Principal;Standard;Partner Program;Healthcare;Emerging;LATAM;Brazil;Rio de Janeiro;2023-10-14;2023-11-23;Won;506;91618,21;0,5;Office Suite Basic;Software;181
Proposal;Mid-Market;Senior;Basic;Webinar;Education;Mature;EMEA;United Kingdom;Scotland;2023-10-23;2023-11-25;Won;513;60029,19;0,5;Cloud Sync Pro;Software;117
Qualification;Mid-Market;Senior;Basic;Webinar;Technology;Mature;North America;Canada;Ontario;2023-11-05;2023-11-25;Lost;562;48350,14;0,3;Travel Adapter Kit;Accessories;86
Proposal;Mid-Market;Junior;Basic;Digital Ads;Retail;Mature;EMEA;France;Île-de-France;2023-10-26;2023-11-27;Won;384;41150,74;0,4;Premium Headphones;Accessories;107
Negotiation;Mid-Market;Senior;Basic;Email Campaign;Finance;Mature;EMEA;Denmark;Jylland;2023-09-17;2023-11-28;Won;482;41501,63;0,8;Travel Adapter Kit;Accessories;86
Proposal;Mid-Market;Senior;Premium;Conference;Education;Growth;APAC;Japan;Osaka;2023-11-02;2023-11-29;Won;132;72207,37;0,5;Smart Speaker Max;Devices;546
Proposal;Mid-Market;Senior;Premium;Email Campaign;Manufacturing;Mature;EMEA;United Kingdom;England;2023-10-29;2023-12-01;Won;83;58194,24;0,5;"Tablet Pro 11"" 128 GB";Devices;694
Negotiation;Mid-Market;Mid-Level;Basic;Partner Program;Retail;Mature;EMEA;Denmark;Hovedstaden;2023-10-10;2023-12-02;Lost;551;71092,92;0,8;Parental Control Suite;Software;129
Negotiation;Mid-Market;Senior;Basic;Email Campaign;Finance;Mature;EMEA;Spain;Catalonia;2023-11-14;2023-12-05;Lost;1101;72693,29;0,6;Wireless Charger Pad;Accessories;66
Qualification;Mid-Market;Principal;Premium;Conference;Technology;Growth;APAC;Japan;Osaka;2023-10-03;2023-12-05;Won;38;53477,08;0,4;Onsite Training;Services;1382
Negotiation;Mid-Market;Senior;Basic;Webinar;Finance;Mature;EMEA;Spain;Catalonia;2023-10-08;2023-12-07;Won;433;55980,61;0,7;Parental Control Suite;Software;129
Prospecting;Mid-Market;Junior;Standard;Email Campaign;Healthcare;Emerging;LATAM;Mexico;Jalisco;2023-11-16;2023-12-08;Lost;173;68023,04;0,1;Installation Service;Services;393
Qualification;Enterprise;Mid-Level;Standard;Conference;Finance;Growth;APAC;India;Maharashtra;2023-10-04;2023-12-10;Lost;1012;183301,33;0,2;Office Suite Basic;Software;181
Proposal;Mid-Market;Junior;Basic;Conference;Manufacturing;Growth;APAC;India;Delhi;2023-11-05;2023-12-11;Won;1678;48662,31;0,6;Stylus Pro;Accessories;29
Negotiation;Mid-Market;Junior;Premium;Partner Program;Manufacturing;Mature;EMEA;Denmark;Jylland;2023-11-30;2023-12-11;Lost;69;54356,23;0,7;"E-reader Platinum 8"" 32 GB";Devices;780
Final Review;Mid-Market;Junior;Premium;Email Campaign;Technology;Mature;North America;United States;Washington;2023-10-23;2023-12-12;Won;80;62844,71;0,9;"E-reader Platinum 8"" 32 GB";Devices;780
Qualification;Mid-Market;Principal;Premium;Webinar;Manufacturing;Mature;EMEA;Denmark;Jylland;2023-11-26;2023-12-13;Lost;83;68676,64;0,3;Premium Support;Services;819
Prospecting;Enterprise;Junior;Basic;Email Campaign;Finance;Growth;APAC;India;Maharashtra;2023-10-27;2023-12-13;Won;1121;112165,16;0,2;"E-reader Lite 6"" 8 GB";Devices;100
Qualification;Mid-Market;Mid-Level;Basic;Webinar;Healthcare;Mature;EMEA;United Kingdom;Scotland;2023-11-01;2023-12-14;Lost;581;50007,44;0,4;Travel Adapter Kit;Accessories;86
Negotiation;Mid-Market;Junior;Standard;Webinar;Education;Mature;EMEA;Germany;Hesse;2023-11-29;2023-12-15;Won;391;78693,43;0,7;Smart Speaker Mini;Devices;201
Prospecting;Enterprise;Junior;Premium;Email Campaign;Retail;Mature;North America;United States;California;2023-11-28;2023-12-17;Won;175;150074,18;0,1;Extended Warranty;Services;855
Proposal;Enterprise;Mid-Level;Basic;Conference;Retail;Growth;APAC;India;Karnataka;2023-11-15;2023-12-18;Won;1047;104782,18;0,5;"E-reader Lite 6"" 8 GB";Devices;100
Qualification;Enterprise;Mid-Level;Basic;Digital Ads;Healthcare;Mature;EMEA;France;Auvergne-Rhône-Alpes;2023-11-07;2023-12-19;Lost;841;84187,73;0,3;"E-reader Lite 6"" 8 GB";Devices;100
Negotiation;Mid-Market;Senior;Basic;Digital Ads;Finance;Mature;EMEA;Germany;Bavaria;2023-10-15;2023-12-19;Won;459;53812,55;0,7;"Protective Case 6""";Accessories;117
Negotiation;Mid-Market;Principal;Basic;Partner Program;Education;Mature;EMEA;Germany;Hesse;2023-11-14;2023-12-19;Won;345;36954;0,8;Premium Headphones;Accessories;107
Prospecting;Enterprise;Mid-Level;Premium;Conference;Manufacturing;Mature;North America;Canada;British Columbia;2023-10-15;2023-12-21;Lost;141;115563,29;0,2;Premium Support;Services;819
Prospecting;Enterprise;Junior;Premium;Email Campaign;Education;Mature;North America;United States;California;2023-09-19;2023-12-21;Lost;170;93127,5;0,2;Smart Speaker Max;Devices;546
Proposal;Mid-Market;Principal;Standard;Webinar;Manufacturing;Mature;North America;United States;New York;2023-10-21;2023-12-21;Lost;153;37438,26;0,6;ReadingPlus Annual;Software;244
Prospecting;Mid-Market;Senior;Basic;Partner Program;Manufacturing;Mature;North America;United States;California;2023-10-19;2023-12-21;Lost;405;47403,82;0,0;"Protective Case 6""";Accessories;117
Qualification;Mid-Market;Senior;Basic;Conference;Retail;Mature;EMEA;France;Île-de-France;2023-11-06;2023-12-22;Lost;674;72194,24;0,4;Premium Headphones;Accessories;107
Final Review;Mid-Market;Senior;Standard;Email Campaign;Manufacturing;Mature;North America;United States;New York;2023-11-26;2023-12-22;Won;129;31567,74;0,8;ReadingPlus Annual;Software;244
Prospecting;Mid-Market;Junior;Basic;Conference;Technology;Growth;APAC;Japan;Tokyo;2023-11-27;2023-12-22;Lost;1317;38202,25;0,0;Stylus Pro;Accessories;29
Proposal;Enterprise;Mid-Level;Standard;Email Campaign;Healthcare;Growth;APAC;Japan;Osaka;2023-10-25;2023-12-23;Won;640;128647,04;0,5;Smart Speaker Mini;Devices;201
Final Review;Mid-Market;Mid-Level;Basic;Digital Ads;Government;Mature;North America;United States;Texas;2023-09-17;2023-12-24;Won;346;22856,87;0,9;Wireless Charger Pad;Accessories;66
Negotiation;Enterprise;Junior;Standard;Conference;Retail;Emerging;LATAM;Mexico;Mexico City;2023-11-17;2023-12-25;Won;568;91015,44;0,6;Office Suite Enterprise;Software;160
Prospecting;Mid-Market;Junior;Basic;Email Campaign;Government;Mature;North America;Canada;Ontario;2023-11-09;2023-12-26;Lost;381;44607,91;0,2;Cloud Sync Pro;Software;117
Prospecting;Mid-Market;Junior;Basic;Partner Program;Government;Mature;North America;United States;New York;2023-12-19;2023-12-26;Lost;173;20352,1;0,1;"Protective Case 6""";Accessories;117
Proposal;Enterprise;Senior;Premium;Webinar;Education;Growth;APAC;Australia;Victoria;2023-11-17;2023-12-26;Won;59;81733,82;0,5;Onsite Training;Services;1382
Prospecting;Enterprise;Senior;Standard;Email Campaign;Retail;Growth;APAC;Australia;New South Wales;2023-12-02;2023-12-26;Lost;413;100992,5;0,1;ReadingPlus Annual;Software;244
Prospecting;Mid-Market;Senior;Standard;Email Campaign;Manufacturing;Mature;North America;United States;New York;2023-11-17;2023-12-27;Lost;119;47041,07;0,0;Installation Service;Services;393
Qualification;Mid-Market;Junior;Basic;Webinar;Finance;Mature;North America;United States;California;2023-10-25;2023-12-28;Won;513;60123,09;0,2;Cloud Sync Pro;Software;117
Proposal;Mid-Market;Junior;Basic;Webinar;Finance;Mature;EMEA;Denmark;Hovedstaden;2023-11-02;2023-12-28;Lost;641;64103,58;0,4;"E-reader Lite 6"" 8 GB";Devices;100
Negotiation;Mid-Market;Junior;Premium;Partner Program;Technology;Mature;North America;Canada;British Columbia;2023-11-26;2023-12-30;Won;73;40369,11;0,7;Smart Speaker Max;Devices;546
Final Review;Mid-Market;Senior;Standard;Email Campaign;Healthcare;Mature;North America;United States;Washington;2023-11-06;2023-12-31;Won;312;49961,11;0,9;Office Suite Enterprise;Software;160
Final Review;Mid-Market;Senior;Basic;Webinar;Education;Mature;North America;United States;California;2023-10-23;2023-12-31;Won;1844;53490,58;0,8;Stylus Pro;Accessories;29
Negotiation;Mid-Market;Mid-Level;Standard;Partner Program;Manufacturing;Growth;APAC;Japan;Osaka;2023-12-15;2023-12-31;Won;187;45707,19;0,7;ReadingPlus Annual;Software;244
Prospecting;Enterprise;Principal;Premium;Digital Ads;Healthcare;Mature;North America;Canada;Ontario;2023-12-04;2024-01-01;Lost;111;95618,55;0,2;Extended Warranty;Services;855
Negotiation;Enterprise;Junior;Standard;Partner Program;Retail;Mature;EMEA;France;Île-de-France;2023-12-20;2024-01-02;Won;808;162523,12;0,7;Smart Speaker Mini;Devices;201
Negotiation;Mid-Market;Senior;Basic;Digital Ads;Technology;Mature;EMEA;United Kingdom;England;2023-11-19;2024-01-04;Won;193;22638,46;0,7;"Protective Case 6""";Accessories;117
Qualification;Mid-Market;Senior;Basic;Digital Ads;Manufacturing;Emerging;LATAM;Brazil;São Paulo;2023-10-27;2024-01-04;Lost;666;78027,53;0,2;"Protective Case 6""";Accessories;117
Proposal;Mid-Market;Mid-Level;Premium;Partner Program;Government;Mature;EMEA;Denmark;Hovedstaden;2023-12-09;2024-01-05;Lost;79;61827,68;0,6;"E-reader Platinum 8"" 32 GB";Devices;780
Prospecting;Enterprise;Junior;Standard;Webinar;Education;Growth;APAC;India;Maharashtra;2023-11-19;2024-01-05;Lost;498;100290,93;0,0;Smart Speaker Mini;Devices;201
Qualification;Mid-Market;Senior;Standard;Digital Ads;Manufacturing;Mature;North America;Canada;Quebec;2023-12-15;2024-01-06;Lost;370;59323,28;0,3;Office Suite Enterprise;Software;160
Prospecting;Mid-Market;Principal;Basic;Conference;Technology;Emerging;LATAM;Brazil;São Paulo;2023-12-07;2024-01-06;Lost;598;59862,65;0,1;"E-reader Lite 6"" 8 GB";Devices;100
Proposal;Mid-Market;Mid-Level;Basic;Conference;Government;Growth;APAC;Japan;Tokyo;2023-11-26;2024-01-06;Won;574;37934,96;0,5;Wireless Charger Pad;Accessories;66
Negotiation;Mid-Market;Senior;Premium;Conference;Manufacturing;Mature;North America;United States;New York;2023-12-20;2024-01-07;Won;67;55103,15;0,8;Premium Support;Services;819
Proposal;Mid-Market;Junior;Standard;Webinar;Education;Growth;APAC;Australia;New South Wales;2023-12-13;2024-01-08;Won;240;43620,79;0,4;Office Suite Basic;Software;181
Negotiation;Mid-Market;Mid-Level;Premium;Webinar;Government;Growth;APAC;Australia;New South Wales;2023-11-04;2024-01-08;Won;63;44192,41;0,7;"Tablet Pro 11"" 128 GB";Devices;694
Proposal;Enterprise;Mid-Level;Premium;Conference;Manufacturing;Mature;EMEA;Denmark;Hovedstaden;2023-11-30;2024-01-09;Won;98;80354,93;0,5;Premium Support;Services;819
Negotiation;Enterprise;Senior;Premium;Digital Ads;Finance;Mature;EMEA;France;Île-de-France;2023-11-30;2024-01-09;Won;227;124181,38;0,8;Smart Speaker Max;Devices;546
Negotiation;Mid-Market;Junior;Standard;Email Campaign;Government;Mature;EMEA;Denmark;Hovedstaden;2023-12-16;2024-01-09;Won;149;27004,99;0,6;Office Suite Basic;Software;181
Final Review;Mid-Market;Senior;Standard;Webinar;Healthcare;Mature;EMEA;France;Auvergne-Rhône-Alpes;2023-12-14;2024-01-09;Won;385;69729,66;0,9;Office Suite Basic;Software;181
Proposal;Enterprise;Principal;Premium;Conference;Finance;Emerging;LATAM;Mexico;Jalisco;2023-12-16;2024-01-10;Won;297;162335,68;0,5;Smart Speaker Max;Devices;546
Qualification;Enterprise;Senior;Basic;Email Campaign;Finance;Mature;EMEA;United Kingdom;Scotland;2023-12-13;2024-01-11;Won;1555;155521,88;0,2;"E-reader Lite 6"" 8 GB";Devices;100
Negotiation;Mid-Market;Senior;Basic;Partner Program;Government;Growth;APAC;Australia;New South Wales;2023-12-24;2024-01-13;Won;753;75334,37;0,6;"E-reader Lite 6"" 8 GB";Devices;100
Prospecting;Enterprise;Principal;Premium;Email Campaign;Finance;Mature;North America;United States;New York;2023-11-17;2024-01-14;Lost;140;97495,42;0,0;"Tablet Pro 11"" 128 GB";Devices;694
Prospecting;Mid-Market;Senior;Standard;Digital Ads;Healthcare;Mature;North America;Canada;Ontario;2023-12-03;2024-01-15;Lost;354;56691,16;0,0;Office Suite Enterprise;Software;160
Final Review;Mid-Market;Principal;Basic;Digital Ads;Retail;Growth;APAC;Japan;Tokyo;2023-12-31;2024-01-15;Won;731;62921,9;0,9;Travel Adapter Kit;Accessories;86
Final Review;Mid-Market;Mid-Level;Basic;Email Campaign;Manufacturing;Growth;APAC;Japan;Tokyo;2023-12-09;2024-01-15;Won;395;46325,04;0,9;"Protective Case 6""";Accessories;117
Proposal;Enterprise;Mid-Level;Premium;Partner Program;Retail;Mature;EMEA;Germany;Berlin;2023-12-22;2024-01-16;Won;71;99395,57;0,4;Onsite Training;Services;1382
Final Review;Mid-Market;Senior;Premium;Email Campaign;Education;Mature;North America;United States;California;2023-12-14;2024-01-16;Won;49;42128,57;0,9;Extended Warranty;Services;855
Qualification;Enterprise;Principal;Premium;Webinar;Retail;Growth;APAC;Australia;New South Wales;2023-12-14;2024-01-16;Won;158;123884,8;0,2;"E-reader Platinum 8"" 32 GB";Devices;780
Negotiation;Mid-Market;Junior;Basic;Email Campaign;Government;Mature;North America;United States;Washington;2023-12-26;2024-01-20;Lost;247;28960,38;0,7;Cloud Sync Pro;Software;117
Prospecting;Mid-Market;Senior;Premium;Email Campaign;Education;Mature;North America;Canada;British Columbia;2023-12-22;2024-01-20;Lost;50;43531,46;0,2;Extended Warranty;Services;855
Negotiation;Mid-Market;Junior;Basic;Conference;Manufacturing;Mature;EMEA;Denmark;Hovedstaden;2023-12-11;2024-01-20;Won;491;49169,63;0,6;"E-reader Lite 6"" 8 GB";Devices;100
Negotiation;Mid-Market;Senior;Premium;Partner Program;Finance;Emerging;LATAM;Brazil;São Paulo;2023-12-09;2024-01-21;Won;67;46988,95;0,7;"Tablet Pro 11"" 128 GB";Devices;694
Proposal;Mid-Market;Mid-Level;Standard;Webinar;Technology;Mature;EMEA;Germany;Bavaria;2023-12-08;2024-01-22;Won;144;35284,64;0,5;ReadingPlus Annual;Software;244
Qualification;Mid-Market;Mid-Level;Standard;Partner Program;Finance;Mature;EMEA;United Kingdom;Scotland;2023-12-17;2024-01-22;Won;396;79596,87;0,3;Smart Speaker Mini;Devices;201
Negotiation;Mid-Market;Senior;Basic;Conference;Education;Mature;North America;Canada;Quebec;2023-11-29;2024-01-22;Won;745;49193,62;0,7;Wireless Charger Pad;Accessories;66
Proposal;Mid-Market;Mid-Level;Premium;Webinar;Manufacturing;Growth;APAC;Australia;New South Wales;2023-12-22;2024-01-23;Won;92;64272,27;0,5;"Tablet Pro 11"" 128 GB";Devices;694
Qualification;Enterprise;Junior;Premium;Conference;Finance;Mature;EMEA;Denmark;Jylland;2023-12-06;2024-01-23;Lost;178;123818,09;0,3;"Tablet Pro 11"" 128 GB";Devices;694
Proposal;Mid-Market;Senior;Basic;Digital Ads;Manufacturing;Mature;North America;United States;California;2023-11-13;2024-01-25;Won;527;56402,05;0,5;Premium Headphones;Accessories;107
Prospecting;Mid-Market;Mid-Level;Standard;Webinar;Manufacturing;Mature;EMEA;Germany;Berlin;2024-01-15;2024-01-26;Lost;361;72745,31;0,2;Smart Speaker Mini;Devices;201
Final Review;Mid-Market;Senior;Basic;Conference;Government;Growth;APAC;India;Delhi;2024-01-01;2024-01-26;Won;573;67104,56;0,9;Cloud Sync Pro;Software;117
Qualification;Mid-Market;Junior;Standard;Conference;Finance;Growth;APAC;Japan;Tokyo;2023-10-16;2024-01-28;Won;376;60220,92;0,2;Office Suite Enterprise;Software;160
Prospecting;Mid-Market;Senior;Standard;Conference;Education;Mature;North America;Canada;British Columbia;2023-09-01;2024-01-29;Lost;130;51344,27;0,0;Installation Service;Services;393
Prospecting;Mid-Market;Junior;Basic;Digital Ads;Retail;Mature;North America;United States;Washington;2023-10-31;2024-01-30;Lost;413;35567,23;0,0;Travel Adapter Kit;Accessories;86
Negotiation;Enterprise;Principal;Premium;Conference;Education;Mature;EMEA;United Kingdom;Scotland;2024-01-18;2024-01-31;Won;72;100533,96;0,6;Onsite Training;Services;1382
Proposal;Mid-Market;Principal;Premium;Digital Ads;Manufacturing;Mature;EMEA;France;Île-de-France;2023-12-03;2024-02-01;Lost;38;52907,6;0,5;Onsite Training;Services;1382
Prospecting;Mid-Market;Senior;Premium;Conference;Government;Mature;EMEA;France;Île-de-France;2023-12-29;2024-02-01;Won;29;20611,59;0,2;"Tablet Pro 11"" 128 GB";Devices;694
Prospecting;Mid-Market;Mid-Level;Premium;Conference;Education;Mature;North America;Canada;British Columbia;2024-01-22;2024-02-02;Lost;25;34954,22;0,1;Onsite Training;Services;1382
Negotiation;Enterprise;Senior;Standard;Partner Program;Manufacturing;Mature;EMEA;France;Auvergne-Rhône-Alpes;2024-01-16;2024-02-03;Lost;523;83757,84;0,7;Office Suite Enterprise;Software;160
Final Review;Mid-Market;Senior;Basic;Digital Ads;Healthcare;Mature;EMEA;Spain;Catalonia;2023-12-20;2024-02-03;Won;1307;37904,09;0,8;Stylus Pro;Accessories;29
Proposal;Enterprise;Senior;Basic;Digital Ads;Finance;Mature;EMEA;United Kingdom;Scotland;2023-11-27;2024-02-03;Won;1157;135378,66;0,4;Cloud Sync Pro;Software;117
Negotiation;Mid-Market;Senior;Basic;Partner Program;Retail;Growth;APAC;India;Maharashtra;2023-12-24;2024-02-05;Won;460;49242,93;0,6;Premium Headphones;Accessories;107
Prospecting;Enterprise;Mid-Level;Basic;Email Campaign;Retail;Growth;APAC;Australia;Victoria;2023-12-18;2024-02-05;Lost;769;90008,88;0,0;"Protective Case 6""";Accessories;117
Final Review;Mid-Market;Junior;Basic;Partner Program;Technology;Mature;North America;United States;New York;2024-01-25;2024-02-06;Won;306;32817,36;0,9;Premium Headphones;Accessories;107
Negotiation;Enterprise;Junior;Basic;Email Campaign;Retail;Emerging;LATAM;Brazil;São Paulo;2024-01-24;2024-02-07;Won;825;88294,37;0,6;Premium Headphones;Accessories;107
Prospecting;Mid-Market;Principal;Basic;Conference;Technology;Mature;EMEA;Germany;Berlin;2023-12-05;2024-02-08;Lost;359;35998,53;0,2;"E-reader Lite 6"" 8 GB";Devices;100
Proposal;Mid-Market;Mid-Level;Basic;Webinar;Finance;Mature;North America;United States;New York;2023-12-18;2024-02-09;Lost;343;36710,4;0,5;Premium Headphones;Accessories;107
Proposal;Mid-Market;Mid-Level;Premium;Partner Program;Education;Growth;APAC;India;Delhi;2023-11-12;2024-02-09;Won;52;45275,61;0,4;Extended Warranty;Services;855
Qualification;Mid-Market;Mid-Level;Basic;Webinar;Healthcare;Mature;EMEA;Denmark;Hovedstaden;2023-11-30;2024-02-10;Lost;359;42113,39;0,2;Cloud Sync Pro;Software;117
Negotiation;Mid-Market;Junior;Basic;Digital Ads;Education;Growth;APAC;Australia;New South Wales;2024-01-04;2024-02-11;Won;302;39057,56;0,8;Parental Control Suite;Software;129
Negotiation;Mid-Market;Senior;Standard;Webinar;Government;Emerging;LATAM;Mexico;Jalisco;2023-11-05;2024-02-12;Lost;254;51100,53;0,7;Smart Speaker Mini;Devices;201
Proposal;Mid-Market;Principal;Premium;Email Campaign;Healthcare;Mature;North America;Canada;British Columbia;2024-01-07;2024-02-14;Lost;55;76784,09;0,5;Onsite Training;Services;1382
Proposal;Mid-Market;Principal;Standard;Partner Program;Manufacturing;Emerging;LATAM;Mexico;Jalisco;2024-01-15;2024-02-15;Lost;378;75989,08;0,4;Smart Speaker Mini;Devices;201
Negotiation;Mid-Market;Mid-Level;Basic;Partner Program;Education;Mature;North America;United States;California;2024-01-24;2024-02-16;Lost;388;41596,11;0,7;Premium Headphones;Accessories;107
Proposal;SMB;Principal;Basic;Digital Ads;Government;Mature;EMEA;Spain;Catalonia;2024-02-04;2024-02-16;Lost;526;15259,68;0,5;Stylus Pro;Accessories;29
Qualification;Mid-Market;Principal;Basic;Email Campaign;Government;Mature;EMEA;Spain;Madrid;2023-12-16;2024-02-16;Lost;172;20191,91;0,2;"Protective Case 6""";Accessories;117
